sk,ep,a,b,en,c_sk,c_ep,c_a,c_b,c_en,signature
0,0,0,0,0,0.17142857142857146,-0.4211968175526967,0.4818989496028351,0.1263882859378882,0.4865546183495792,00000
0,0,0,0,1,0.17142857142857146,-0.4211968175526967,-0.5655907509327864,-6.630916568849722,0.403096889967496,00001
0,0,0,1,0,0.17142857142857146,0.25,-0.06544921289898542,0.6945242199751226,0.4865546183495792,00010
0,0,0,1,1,0.17142857142857146,0.25,-5.393131014576016,-6.0,0.403096889967496,00011
0,0,1,0,0,-1.5289668777367953,-0.4211968175526967,0.9185685505560444,0.12453723802070392,-0.6395158468684874,00100
0,0,1,0,1,-1.5289668777367953,-0.4211968175526967,-0.27982410223350074,-6.630916568849722,-0.9156654952754756,00101
0,0,1,1,0,-1.5289668777367953,0.25,-0.5,0.34012588299640434,-0.6395158468684874,00110
0,0,1,1,1,-1.5289668777367953,0.25,-0.3588509668044049,-6.0,-0.9156654952754756,00111
0,1,0,0,0,0.17142857142857146,-6.0,0.4818989496028351,0.1263882859378882,0.1613445798050499,01000
0,1,0,0,1,0.17142857142857146,-6.0,-0.5655907509327864,-6.630916568849722,6.730836919422172,01001
0,1,0,1,0,0.17142857142857146,6.108254144692411,-0.06544921289898542,0.6945242199751226,0.1613445798050499,01010
0,1,0,1,1,0.17142857142857146,6.108254144692411,-5.393131014576016,-6.0,6.730836919422172,01011
0,1,1,0,0,-1.5289668777367953,-6.0,0.9185685505560444,0.12453723802070392,-0.1670897671460233,01100
0,1,1,0,1,-1.5289668777367953,-6.0,-0.27982410223350074,-6.630916568849722,-0.7238734683703751,01101
0,1,1,1,0,-1.5289668777367953,6.108254144692411,-0.5,0.34012588299640434,-0.1670897671460233,01110
0,1,1,1,1,-1.5289668777367953,6.108254144692411,-0.3588509668044049,-6.0,-0.7238734683703751,01111
1,0,0,0,0,0.3,-0.4211968175526967,0.4818989496028351,0.1263882859378882,-1.1591240335997208,10000
1,0,0,0,1,0.3,-0.4211968175526967,-0.5655907509327864,-6.630916568849722,-0.15,10001
1,0,0,1,0,0.3,0.25,-0.06544921289898542,0.6945242199751226,-1.1591240335997208,10010
1,0,0,1,1,0.3,0.25,-5.393131014576016,-6.0,-0.15,10011
1,0,1,0,0,-0.5,-0.4211968175526967,0.9185685505560444,0.12453723802070392,-0.1670897671460233,10100
1,0,1,0,1,-0.5,-0.4211968175526967,-0.27982410223350074,-6.630916568849722,-0.7238734683703751,10101
1,0,1,1,0,-0.5,0.25,-0.5,0.34012588299640434,-0.1670897671460233,10110
1,0,1,1,1,-0.5,0.25,-0.3588509668044049,-6.0,-0.7238734683703751,10111
1,1,0,0,0,0.3,-6.0,0.4818989496028351,0.1263882859378882,-0.1670897671460233,11000
1,1,0,0,1,0.3,-6.0,-0.5655907509327864,-6.630916568849722,-0.7238734683703751,11001
1,1,0,1,0,0.3,6.108254144692411,-0.06544921289898542,0.6945242199751226,-0.1670897671460233,11010
1,1,0,1,1,0.3,6.108254144692411,-5.393131014576016,-6.0,-0.7238734683703751,11011
1,1,1,0,0,-0.5,-6.0,0.9185685505560444,0.12453723802070392,-0.1670897671460233,11100
1,1,1,0,1,-0.5,-6.0,-0.27982410223350074,-6.630916568849722,-0.7238734683703751,11101
1,1,1,1,0,-0.5,6.108254144692411,-0.5,0.34012588299640434,-0.1670897671460233,11110
1,1,1,1,1,-0.5,6.108254144692411,-0.3588509668044049,-6.0,-0.7238734683703751,11111
2,0,0,0,0,1.059955857667942,-0.4211968175526967,0.5,0.1263882859378882,-1.1591240335997208,20000
2,0,0,0,1,1.059955857667942,-0.4211968175526967,-0.5749189906961684,-6.630916568849722,-0.15,20001
2,0,0,1,0,1.059955857667942,0.25,-5.393131014576016,0.6945242199751226,-1.1591240335997208,20010
2,0,0,1,1,1.059955857667942,0.25,-5.393131014576016,-6.0,-0.15,20011
2,0,1,0,0,-0.5,-0.4211968175526967,0.18498754509719775,0.12453723802070392,-0.1670897671460233,20100
2,0,1,0,1,-0.5,-0.4211968175526967,-0.0077947472073108814,-6.630916568849722,-0.7238734683703751,20101
2,0,1,1,0,-0.5,0.25,-0.3588509668044049,0.34012588299640434,-0.1670897671460233,20110
2,0,1,1,1,-0.5,0.25,-0.3588509668044049,-6.0,-0.7238734683703751,20111
2,1,0,0,0,1.059955857667942,-6.0,0.5,0.1263882859378882,-0.1670897671460233,21000
2,1,0,0,1,1.059955857667942,-6.0,-0.5749189906961684,-6.630916568849722,-0.7238734683703751,21001
2,1,0,1,0,1.059955857667942,6.108254144692411,-5.393131014576016,0.6945242199751226,-0.1670897671460233,21010
2,1,0,1,1,1.059955857667942,6.108254144692411,-5.393131014576016,-6.0,-0.7238734683703751,21011
2,1,1,0,0,-0.5,-6.0,0.18498754509719775,0.12453723802070392,-0.1670897671460233,21100
2,1,1,0,1,-0.5,-6.0,-0.0077947472073108814,-6.630916568849722,-0.7238734683703751,21101
2,1,1,1,0,-0.5,6.108254144692411,-0.3588509668044049,0.34012588299640434,-0.1670897671460233,21110
2,1,1,1,1,-0.5,6.108254144692411,-0.3588509668044049,-6.0,-0.7238734683703751,21111
